fine,ACCEPT_POS
good,ACCEPT_POS
I can manage that,ACCEPT_POS
I am going to have to cope with that,ACCEPT_POS
i will do that,ACCEPT_POS
I am not bothered by that,ACCEPT_POS
I am sure,ACCEPT_POS
It is okay,ACCEPT_POS
mhm,ACCEPT_POS
mhm fine,ACCEPT_POS
no problem,ACCEPT_POS
oh that would be fine yeah,ACCEPT_POS
oh that is okay then,ACCEPT_POS
oh that is right erm,ACCEPT_POS
okay,ACCEPT_POS
okay fine yeah,ACCEPT_POS
okay then,ACCEPT_POS
right,ACCEPT_POS
right okay,ACCEPT_POS
rightio,ACCEPT_POS
sure,ACCEPT_POS
that sounds fine,ACCEPT_POS
that is fine,ACCEPT_POS
That is alright,ACCEPT_POS
That is correct,ACCEPT_POS
That is fine yes,ACCEPT_POS
That is gonna have to do yeah okay,ACCEPT_POS
That is good,ACCEPT_POS
That is just great,ACCEPT_POS
That is okay,ACCEPT_POS
That is right,ACCEPT_POS
That is the one,ACCEPT_POS
yeah,ACCEPT_POS
yeah sure,ACCEPT_POS
yeah that is fine erm,ACCEPT_POS
yep,ACCEPT_POS
yes,ACCEPT_POS
yes lovely,ACCEPT_POS
yes please,ACCEPT_POS
you can,ACCEPT_POS
cool,ACCEPT_POS
cool okay,ACCEPT_POS
yea that is cool,ACCEPT_POS
cool yeah okay,ACCEPT_POS
cool yeah,ACCEPT_POS
,
No,ACCEPT_NEG
Yes No,ACCEPT_NEG
No Yes,ACCEPT_NEG
